543ODP677AODP 677 Planktonic O-18
Size fraction: medium
ODP 677A 1 deg 12.138' N 83 deg 44' W water depth 3472.3 m
ODP 677B 1 deg 13.006' N 83 deg 43.392' W water depth 3446.8 m
see also proc ODP sci res, vol 111, p227 ff
ages are by astronomical correlation.
Agemodel for 677 27.04.89
format(A16,f8.2,f9.4,A12,f8.2)
sample ID, depth age, species planktonic 18O
A 87/1343ODP677A   11.25   0.2660   GRUBER C    -0.99
A 87/1344ODP677A   11.35   0.2680   GRUBER C    -0.67
A 87/1345ODP677A   11.44   0.2710   GRUBER C    -1.03
A 87/1346ODP677A   11.54   0.2730   GRUBER C    -1.07
A 87/1347ODP677A   11.64   0.2760   GRUBER C    -1.05
A 87/1348ODP677A   11.74   0.2790   GRUBER C    -1.10
A 87/1350ODP677A   11.95   0.2840   GRUBER C    -1.53
A 87/1351ODP677A   12.02   0.2860   GRUBER C    -2.18
A 87/1352ODP677A   12.14   0.2900   GRUBER C    -1.96
A 87/1353ODP677A   12.24   0.2930   GRUBER C    -1.37
A 87/1354ODP677A   12.36   0.2970   GRUBER C    -1.39
A 87/1355ODP677A   12.42   0.2980   GRUBER C    -1.41
A 87/1356ODP677A   12.54   0.3020   GRUBER C    -1.62
A 87/1357ODP677A   12.65   0.3050   GRUBER C    -1.71
A 87/1358ODP677A   12.74   0.3070   GRUBER C    -1.67
A 87/1359ODP677A   12.85   0.3100   GRUBER C    -1.61
A 87/1891ODP677A   12.85   0.3100   GRUBER C    -1.74
A 87/1360ODP677A   12.93   0.3120   GRUBER C    -1.72
A 87/1361ODP677A   13.04   0.3150   GRUBER C    -1.84
A 87/1362ODP677A   13.14   0.3180   GRUBER C    -1.96
A 87/1363ODP677A   13.24   0.3210   GRUBER C    -2.07
A 87/1364ODP677A   13.34   0.3240   GRUBER C    -1.82
A 87/1365ODP677A   13.45   0.3270   GRUBER C    -2.14
A 87/1366ODP677A   13.54   0.3290   GRUBER C    -2.54
A 87/1367ODP677A   13.64   0.3310   GRUBER C    -2.18
A 87/1368ODP677A   13.74   0.3330   GRUBER C    -1.13
A 87/1892ODP677A   13.84   0.3350   GRUBER C    -0.92
A 87/1370ODP677A   13.94   0.3370   GRUBER C    -0.37
A 87/1371ODP677A   14.04   0.3390   GRUBER C    -0.55
A 87/1372ODP677A   14.17   0.3430   GRUBER C    -0.57
A 87/1373ODP677A   14.26   0.3450   GRUBER C    -0.90
A 87/1374ODP677A   14.35   0.3480   GRUBER C    -1.21
A 87/1375ODP677A   14.43   0.3500   GRUBER C    -0.77
A 87/1376ODP677A   14.55   0.3540   GRUBER C    -1.20
